Date,Ijora_Energy_Delivered[kWh]_(Customers),Ijora_Energy_Billed_[kWh]_+PPM_(Customers),Ijora_PPM_Vended_[kWh]_(Customers),Ijora_KCG_(Customers),Ijora_NON_KCG_(Customers),Ijora_PPM_(Customers),Ijora_TOTAL_(Customers),Ijora_KCG_(Billing),Ijora_NON_KCG_(Billing),Ijora_PPM*(Billing),Ijora_KCG+NKCG+PPM_(Billing),Ijora_KCG_(Collection),Ijora_NON_KCG_(Collection),IjoraPPM*(Collection),Ijora_KCG+NKCG_(Collection)
18/09/2018,24035327.6,19644238.7,,719,21641,26334,48694,257014743.7,235233974.9,79987805,572236523.6,185902222.1,143402248.4,79987805,409292275.4
18/10/2018,20794459.5,18579580.3,,727,21518,26379,48624,248316714.3,191110522.8,99559299.1,538986536.2,296518245.7,155275778.5,99559299.1,551353323.3
18/11/2018,24098331,20858710.3,,730,21554,26565,48849,270702847.1,229286402.7,109969007,609958256.8,244893057.1,167400565.2,110232607,522526229.3
18/12/2018,29154968.6,23488397,,739,21489,26705,48933,332656208.6,250077816,104176345.1,686910369.7,301844365.2,145494787.5,104176345.1,551515497.7
19/01/2019,25469801.6,21145236.9,,745,21529,26816,49090,293067266,224261072.8,105056545,622384883.8,275571143.7,162234575.4,105056545,542862264
19/02/2019,26460460,21461310.1,,750,21538,26816,49104,281993754.4,241097897.8,105464574,628556226.2,258427635.4,153335742.1,105464574,517227951.5
19/03/2019,26055281.9,22006419.8,,752,21585,26935,49272,275326278.4,245274657.3,118199573,638800508.7,265489761.2,161974724.6,118199573,545664058.8
19/04/2019,29848348.6,24590839,,748,21541,27083,49372,315982473,282859306,110961595,709803374,237084276.9,164892228.9,110961595,512938100.7
19/05/2019,27058036.6,22181912.5,,752,21584,27368,49704,306860994.7,233425695.7,106793738,647080428.4,294902083.4,169459310,106793738,571155131.3
19/06/2019,28108108.6,22872502.5,,756,21572,27479,49807,304065238.1,263919563.7,93912818,661897619.8,346175760.4,158493737.8,93912818,598582316.1
19/07/2019,25117866.9,21002522.6,,757,21651,27479,49887,275665372,239572209.4,96776257.7,612013839.1,280831192,179466859.2,96776257.7,557074308.9
19/08/2019,25863510,22088442.3,,757,21667,27724,50148,284566104.9,256609181.4,103190399.6,644365685.9,271701533.5,169449344.3,103190399.6,544341277.4
19/09/2019,26630100,22133500.7,,763,21718,27605,50086,296713465.5,258225071.3,92208709,647147245.8,288484862,169252300.3,92208709,549945871.3
19/10/2019,24035168.1,20457229.4,,769,21745,28202,50716,268760350.9,231921020.3,95088578.8,595769950,264011950.4,166961897.4,95590415.8,526564263.6
19/11/2019,24141690,21340374.9,,776,21707,28202,50685,279641013.4,223449917.1,120931398.9,624022329.4,268369540.8,163672192.1,120931398.9,552973131.8
19/12/2019,28894750.7,24548279.6,,781,21636,28850,51267,308992341.5,282548718.1,121255958.5,712797018.1,289322138.8,152091242.4,121255958.5,562669339.6
20/01/2020,26757281.9,23235289.6,,783,21511,28850,51144,300964752.1,256542123.1,127989098.4,685495973.5,282097196.5,172997862.4,127989098.4,583084157.3
20/02/2020,27436573.1,23492878.3,,786,21527,29506,51819,297465819,278344810.6,117535482.5,693346112.1,296985975,171328651.8,117535482.5,585850109.2
